ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10984,AAS,1020,100,Lecture,"4","Claudrena Harold","TuTh 12:30PM - 1:45PM","Minor Hall 125","Introduction to African-American and African Studies II","",Wait List,118,118,39,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10989,AAS,1020,101,Discussion,"4","Danielle Wingfield","Tu 6:00PM - 6:50PM","New Cabell Hall 407","Introduction to African-American and African Studies II","",Wait List,18,18,9,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10988,AAS,1020,102,Discussion,"4","Danielle Wingfield","Tu 5:00PM - 5:50PM","New Cabell Hall 407","Introduction to African-American and African Studies II","",Wait List,20,20,10,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10987,AAS,1020,103,Discussion,"4","Noel Stringham","We 5:00PM - 5:50PM","New Cabell Hall 211","Introduction to African-American and African Studies II","",Wait List,22,20,7,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10986,AAS,1020,104,Discussion,"4","Noel Stringham","We 7:00PM - 7:50PM","New Cabell Hall 211","Introduction to African-American and African Studies II","",Open,19,20,4,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10990,AAS,1020,105,Discussion,"4","Danielle Wingfield","Tu 7:00PM - 7:50PM","New Cabell Hall 407","Introduction to African-American and African Studies II","",Wait List,20,20,3,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10985,AAS,1020,106,Discussion,"4","Noel Stringham","We 6:00PM - 6:50PM","New Cabell Hall 211","Introduction to African-American and African Studies II","",Open,19,20,6,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
15097,AAS,2224,001,Seminar,"3","Lisa Shutt","We 2:00PM - 4:30PM","Physics Bldg 218","Black Femininities and Masculinities in the US Media","",Wait List,21,18,11,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender."
16124,AAS,2224,002,Seminar,"3","Lisa Shutt","We 6:00PM - 8:30PM","New Cabell Hall 383","Black Femininities and Masculinities in the US Media","",Wait List,18,18,8,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender."
21416,AAS,2559,001,Seminar,"3","Latasha Levy","TuTh 9:30AM - 10:45AM","New Cabell Hall 168","New Course in African and African American Studies","NAACP:Roots ofBlackLivesMatter",Wait List,30,30,4,"New course in the subject of African and African American Studies"
