ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10063,AAS,3500,1,Seminar,"3","Herbert Lovelace","MoTuWeThFr 10:30AM - 12:45PM","Bryan Hall 330","Intermediate Seminar in African-American & African Studies","Issues in Civil Rights Law",Open,11,18,0
10987,AAS,3500,2,Seminar,"3","Todne Thomas","MoTuWeThFr 1:00PM - 3:15PM","New Cabell Hall 332","Intermediate Seminar in African-American & African Studies","Kinfolks in the Afr Diaspora",Open,3,25,0
10636,ACCT,2010,701,Lecture,"3","Cory Kirchert","Sa 9:00AM - 1:00PM","Northern Virginia Center","Introductory Accounting","",Open,9,24,0
10637,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:30PM - 10:00PM","Northern Virginia Center","Introductory Accounting II","",Open,10,24,0
10639,ACCT,3110,701,Lecture,"3","Leon Hutton","Th 6:30PM - 10:00PM","Northern Virginia Center","Intermediate Accounting I","",Open,8,24,0
10641,ACCT,3140,701,Lecture,"3","William Cardine","MoTh 6:30PM - 10:00PM","Northern Virginia Center","Cost Accounting","",Open,4,24,0
10642,ACCT,4450,701,Lecture,"3","Thomas Hughes","WeFr 6:30PM - 10:00PM","Northern Virginia Center","Federal Taxation I","",Open,12,24,0
10643,ACCT,5210,701,Lecture,"3","Karen Young","MoTh 6:30PM - 10:00PM","Northern Virginia Center","Introductory Auditing","",Open,12,24,0
10644,ACCT,5460,701,Lecture,"3","Gary Dittmer","Mo 1:04AM - 1:04AM","Web-Based Course-no class mtgs","Federal Taxation II","",Open,17,24,0
10474,ALAR,5010,1,Lecture,"1","Elizabeth Meyer, Maurice Cox","MoTuWeThFr 9:00AM - 5:00PM","Campbell Hall 425","Introduction to Design","",Open,27,30,0
10475,ALAR,5020,1,Lecture,"1","Elizabeth Meyer, Maurice Cox","MoTuWeThFr 9:00AM - 5:00PM","Campbell Hall 325","Introduction to Design Graphics","",Open,27,30,0
10476,ALAR,5030,1,Lecture,"1","Elizabeth Meyer, Maurice Cox","MoTuWeThFr 9:00AM - 5:00PM","Campbell Hall 302","Introduction to Design Theory and Analysis","",Open,27,30,0
10002,ANTH,2157,1,Lecture,"3","Felistas Osotsi","MoTuWeThFr 10:30AM - 12:45PM","Bryan Hall 328","Africa Through Film","",Closed,20,20,0
10064,ANTH,2559,1,Lecture,"3","David Strohl","MoTuWeThFr 10:30AM - 12:45PM","Bryan Hall 312","New Course in Anthropology","Secrecy and Power",Closed,12,12,0
10919,ANTH,2810,1,Lecture,"3","Phillip Trella","MoTuWeThFr 10:30AM - 12:45PM","Maury Hall 113","Human Origins","",Closed,19,14,0
10003,ANTH,2820,1,Lecture,"3","Patricia Wattenmaker","MoTuWeThFr 1:00PM - 3:15PM","New Cabell Hall 320","The Emergence of States and Cities","",Open,9,20,0
10926,ANTH,2858,1,Seminar,"3","Holly Singh","MoTuWeThFr 1:00PM - 3:15PM","Monroe Hall 114","Anthropology of Reproduction: Fertility and the Future","",Closed,21,20,0
11045,ANTH,3050,1,Lecture,"3","Wende Marshall","MoTuWeThFr 1:00PM - 3:15PM","Mcleod Hall 2005","Fat, Famine and Power: Anthropology of Food","",Closed,21,20,0
10065,ANTH,3559,1,Lecture,"3","Claire Snell-Rood","MoTuWeThFr 10:30AM - 12:45PM","Bryan Hall 312","New Course in Anthropology","Anthropology of Urban Poverty",Open,9,20,0
10004,ANTH,3559,2,Lecture,"3","Andrew Nelson","MoTuWeThFr 1:00PM - 3:15PM","Bryan Hall 312","New Course in Anthropology","City Flicks",Closed,21,18,0
10066,ANTH,3559,3,Lecture,"3","Todne Thomas","MoTuWeThFr 1:00PM - 3:15PM","New Cabell Hall 332","New Course in Anthropology","Kin of the Afr Diaspora",Open,3,20,0
11750,ANTH,4993,1,Independent Study,"1 - 6","Wende Marshall","TBA","TBA","Independent Study in Anthropology","",Open,1,30,0
11876,ANTH,4993,2,Independent Study,"1 - 6","Rachel Most","TBA","TBA","Independent Study in Anthropology","",Closed,1,1,0
12248,ANTH,4993,3,Independent Study,"1 - 6","Wende Marshall","TBA","TBA","Independent Study in Anthropology","",Closed,1,1,0
12267,ANTH,4993,4,Independent Study,"1 - 6","Rachel Most","TBA","TBA","Independent Study in Anthropology","",Closed,2,1,0
12199,ANTH,9999,1,Independent Study,"3 - 12","Richard Handler","TBA","TBA","Non-Topical Research","",Open,1,30,0
10368,APMA,1090,1,Lecture,"4","William Johnson","MoTuWeThFr 10:30AM - 11:30AM","Olsson Hall 011","Single Variable Calculus I","",Open,31,35,0
10369,APMA,2120,1,Lecture,"4","Manouchehr Mohajeri","MoTuWeThFr 10:30AM - 11:30AM","Olsson Hall 005","Multivariable Calculus","",Open,13,35,0
10370,APMA,2130,1,Lecture,"4","Bernard Fulgham","MoTuWeThFr 9:15AM - 10:15AM","Olsson Hall 005","Ordinary Differential Equations","",Closed,35,35,0
10371,APMA,3080,1,Lecture,"3","James Lark","MoTuWeThFr 1:00PM - 2:00PM","Olsson Hall 005","Linear Algebra","",Open,18,35,0
10372,APMA,3100,1,Lecture,"3","Thomas Baber","MoTuWeThFr 9:15AM - 10:15AM","Olsson Hall 009","Probability","",Open,20,35,0
10373,APMA,3110,1,Lecture,"3","Norman Beil","MoTuWeThFr 11:45AM - 12:45PM","Olsson Hall 009","Applied Statistics and Probability","",Open,13,35,0
10374,APMA,3120,1,Lecture,"3","James Lark","MoTuWeThFr 10:30AM - 11:30AM","Olsson Hall 009","Statistics","",Open,13,35,0
10486,ARAB,1016,1,Lecture,"4","Caren Freeman, Omima El Araby","MoTuWeThFr 9:00AM - 2:30PM","Minor Hall 130","Intensive Introductory Arabic","",Open,12,20,0
10527,ARAB,1026,001,Lecture,"4","Omima El Araby","MoTuWeThFr 9:00AM - 2:30PM","Minor Hall 130","Intensive Introductory Arabic","",Open,12,20,0
11821,ARAB,116,1,Lecture,"0","Caren Freeman, Omima El Araby","MoTuWeThFr 9:00AM - 2:30PM","Minor Hall 130","Intensive Introductory Arabic","",Open,1,20,0
11822,ARAB,126,1,Lecture,"0","Omima El Araby","MoTuWeThFr 9:00AM - 2:30PM","Minor Hall 130","Intensive Introductory Arabic","",Open,2,20,0
10922,ARAB,2016,1,Lecture,"4","Caren Freeman, Martin Isleem","MoTuWeThFr 9:00AM - 2:30PM","Nau 141","Intensive Intermediate Arabic","",Open,5,20,0
10525,ARAB,2026,1,Lecture,"4","Caren Freeman, Martin Isleem","MoTuWeThFr 9:00AM - 2:30PM","Nau 141","Intensive Intermediate Arabic","",Open,5,20,0
11823,ARAB,216,1,Lecture,"0","Caren Freeman, Martin Isleem","MoTuWeThFr 9:00AM - 2:30PM","Nau 141","Intensive Intermediate Arabic","",Open,1,20,0
11824,ARAB,226,1,Lecture,"0","Caren Freeman, Martin Isleem","MoTuWeThFr 9:00AM - 2:30PM","Nau 141","Intensive Intermediate Arabic","",Open,1,20,0
12008,ARAD,3559,1,Lecture,"3 - 4","Alana Levinson-Labrosse, Theodore Genoways","MoTuWeThFr 10:30AM - 12:45PM","Wilson Hall 141A","New Course in Development for the Arts","",Open,3,15,0
10477,ARCH,2010,1,Lecture,"6","Erin Hannegan","MoTuWeThFr 1:00PM - 6:00PM","Campbell Hall 105","Introduction to Architectural Design I","",Open,9,30,0
10478,ARCH,2020,1,Studio,"6","Peter Waldman","MoTuWeThFr 1:00PM - 6:00PM","Campbell Hall 105","Introduction to Architectural Design II","",Open,10,30,0
10479,ARCH,2040,1,Lecture,"3","Edward Ford","MoTuWeThFr 2:00PM - 6:00PM","Campbell Hall 301","Introduction to Architectural Design","",Open,6,30,0
12185,ARCH,5993,1,Independent Study,"1 - 6","Eric Field","TBA","TBA","Independent Study","",Closed,1,1,0
10001,ARH,1004,1,Lecture,"3","Jacqueline Taylor, Nicholas Genau","MoTuWeThFr 10:30AM - 12:45PM","Fayerweather Hall 215","History of Architecture","",Open,10,30,0
10067,ARTH,2559,1,Lecture,"3","Leslie Cozzi","MoTuWeThFr 10:30AM - 12:45PM","Fayerweather Hall 206","New Course in History of Art","Women and Western Art",Open,6,20,0
10005,ARTH,2772,1,Lecture,"3","Carmenita Higginbotham","MoTuWeThFr 10:30AM - 12:45PM","Fayerweather Hall 208","American Film Noir and the City","",Closed,16,15,0
10068,ARTS,1610,1,Studio,"3","Akemi Rollando","MoTuWeThFr 1:00PM - 3:15PM","Ruffin Hall 203","Introduction to Drawing I","",Open,19,20,0
11806,ARTS,2511,1,Studio,"3","William Wylie","MoTuWeThFr 10:30AM - 12:45PM","TBA","Special Topics in Photography","Documentary Photography",Open,7,15,0
10069,ARTS,2670,1,Studio,"4","Dean Dass","MoTuWeThFr 10:30AM - 12:45PM","Ruffin Hall 220","Introduction to Printmaking I","",Closed,13,15,0
10070,ARTS,2810,1,Studio,"4","William Bennett","MoTuWeThFr 1:00PM - 3:15PM","Ruffin Hall 120","Introduction to Sculpture I","",Open,12,15,0
10071,ARTS,2812,1,Studio,"4","William Bennett","MoTuWeThFr 1:00PM - 3:15PM","Ruffin Hall 120","Introduction to Sculpture II","",Open,1,15,0
10072,ARTS,3670,1,Studio,"3","Dean Dass","MoTuWeThFr 10:30AM - 12:45PM","Ruffin Hall 220","Intermediate Printmaking I","",Closed,2,15,0
10073,ARTS,3810,1,Studio,"3","William Bennett","MoTuWeThFr 1:00PM - 3:15PM","Ruffin Hall 120","Sculpture I","",Open,1,15,0
10074,ARTS,3812,1,Studio,"3","William Bennett","MoTuWeThFr 1:00PM - 3:15PM","Ruffin Hall 120","Sculpture II","",Open,0,15,0
10480,ARTS,4670,1,Studio,"3","Dean Dass","MoTuWeThFr 10:30AM - 12:45PM","Ruffin Hall 220","Advanced Problems in Printmaking","",Closed,0,15,0
10075,ARTS,4900,1,Independent Study,"3","William Bennett","MoTuWeThFr 1:00PM - 3:15PM","Ruffin Hall 120","Advanced Project in Art","",Open,0,15,0
10076,ASTR,1210,1,Lecture,"3","Gail Zasowski","MoTuWeThFr 10:30AM - 12:45PM","Astronomy Bldg 265","Introduction to the Sky and Solar System","",Open,9,15,0
10077,ASTR,1220,1,Lecture,"3","George Privon","MoTuWeThFr 10:30AM - 12:45PM","Astronomy Bldg 265","Introduction to Stars, Galaxies, and the Universe","",Open,13,15,0
10078,ASTR,3420,1,Lecture,"3","Nicole Gugliucci","MoTuWeThFr 1:00PM - 3:15PM","Astronomy Bldg 265","Life Beyond the Earth","",Open,3,15,0
10079,ASTR,3480,1,Lecture,"3","Rachael Beaton","MoTuWeThFr 1:00PM - 3:15PM","Astronomy Bldg 265","Introduction to Cosmology","",Open,7,15,0
10080,ASTR,6210,1,Lecture,"3","Gail Zasowski","MoTuWeThFr 10:30AM - 12:45PM","Astronomy Bldg 265","Introduction to Sky and Solar System Concepts","",Open,0,5,0
10081,ASTR,6220,1,Lecture,"3","George Privon","MoTuWeThFr 10:30AM - 12:45PM","Astronomy Bldg 265","Introduction to Stars, Galaxies, and Universe Concepts","",Open,0,5,0
