ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10001,AAS,1010,100,Lecture,"4","Edwin Otu","TuTh 12:30PM - 1:45PM","Minor Hall 125","Introduction to African-American and African Studies I","",Open,0,120,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10004,AAS,1010,101,Discussion,"0","Staff","Tu 6:00PM - 6:50PM","New Cabell Hall 183","Introduction to African-American and African Studies I","",Open,0,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10005,AAS,1010,102,Discussion,"0","Staff","We 5:00PM - 5:50PM","New Cabell Hall 207","Introduction to African-American and African Studies I","",Open,0,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10002,AAS,1010,103,Discussion,"0","Staff","Tu 7:00PM - 7:50PM","New Cabell Hall 111","Introduction to African-American and African Studies I","",Open,0,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10003,AAS,1010,104,Discussion,"0","Staff","Tu 8:00PM - 8:50PM","New Cabell Hall 111","Introduction to African-American and African Studies I","",Open,0,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10006,AAS,1010,105,Discussion,"0","Staff","We 6:00PM - 6:50PM","New Cabell Hall 107","Introduction to African-American and African Studies I","",Open,0,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10007,AAS,1010,106,Discussion,"0","Staff","We 7:00PM - 7:50PM","New Cabell Hall 044","Introduction to African-American and African Studies I","",Open,0,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
15153,AAS,2224,001,Seminar,"3","Lisa Shutt","Th 2:00PM - 4:30PM","McLeod Hall 2005","Black Femininities and Masculinities in the US Media","",Open,0,45,0,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender."
19197,AAS,3500,001,Seminar,"3","Marlene Daut Zaka","MoWeFr 11:00AM - 11:50AM","New Cabell Hall 332","Intermediate Seminar in African-American & African Studies","",Open,0,15,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
19198,AAS,3500,002,Seminar,"3","Staff","Tu 6:00PM - 8:30PM","New Cabell Hall 107","Intermediate Seminar in African-American & African Studies","",Open,0,25,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
19199,AAS,3500,003,Seminar,"3","Talitha LeFlouria","We 3:30PM - 6:00PM","New Cabell Hall 303","Intermediate Seminar in African-American & African Studies","Race, Medicine&IncarcerationUS",Open,0,20,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
15472,AAS,3500,004,Seminar,"3","Sabrina Pendergrass","TuTh 2:00PM - 3:15PM","New Cabell Hall 407","Intermediate Seminar in African-American & African Studies","SS PerspAf-Amer&AfricanStudies",Open,0,20,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
19200,AAS,3500,005,Seminar,"3","Staff","TuTh 11:00AM - 12:15PM","New Cabell Hall 364","Intermediate Seminar in African-American & African Studies","",Open,0,25,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
19201,AAS,3559,001,Seminar,"3","Edwin Otu","Mo 3:30PM - 6:00PM","New Cabell Hall 415","New Course in African and African American Studies","",Open,0,20,0,"New course in the subject of African and African American Studies."
19202,AAS,3559,002,Seminar,"3","Marlene Daut Zaka","TBA","TBA","New Course in African and African American Studies","",Open,0,15,0,"New course in the subject of African and African American Studies."
19203,AAS,3559,003,Seminar,"3","Lisa Shutt","We 6:00PM - 8:30PM","New Cabell Hall 111","New Course in African and African American Studies","",Open,0,15,0,"New course in the subject of African and African American Studies."
12542,AAS,4070,001,Lecture,"3","Claudrena Harold","TBA","TBA","Directed Reading and Research","",Open,0,10,0,"Students in the Distinguished Majors Program should enroll in this course for their first semester of  thesis research."
19196,AAS,4501,001,Seminar,"4","Talitha LeFlouria","Tu 3:30PM - 6:00PM","New Cabell Hall 027","Advanced Research Seminar in History & AAS","",Open,0,15,0,"Reading, class discussion, and research on a special topic in African-American and African Studies culminating in the composition of a research paper. Topics change from term to term, and vary with the instructor.  Primarily for fourth-year AAS and History students--double majors and others. Crosslisted with the History major seminar."
